year,month,day,region,iso_country_code,total_visits,total_devices_seen,total_home_visits,total_home_visitors
2019,7,6,md,US,979180,345397,384783,233437
2019,7,6,me,US,181009,73495,74177,46674
2019,7,6,mi,US,1565912,580600,683909,416880
2019,7,6,mn,US,765332,272804,312955,190448
2019,7,6,mo,US,1238989,400442,485436,282481
2019,7,6,mp,US,584,394,581,393
2019,7,6,ms,US,633832,205914,260332,148955
2019,7,6,mt,US,124283,46666,47287,29542
2019,7,6,nb,CA,6090,4380,6090,4380
2019,7,6,nc,US,2008281,668675,814281,477381
2019,7,6,nd,US,101580,38998,44962,27878
2019,7,6,ne,US,371718,127812,158657,93633
2019,7,6,nh,US,203245,80865,84174,51481
2019,7,6,nj,US,1695272,599804,683915,408744
2019,7,6,nl,CA,3430,2508,3430,2508
2019,7,6,nm,US,250013,93672,97863,60428
2019,7,6,ns,CA,7890,5721,7890,5721
2019,7,6,nt,CA,234,177,234,177
2019,7,6,nu,CA,125,90,125,90
2019,7,6,nv,US,715952,186959,189501,114687
2019,7,6,ny,US,3031475,1088884,1175978,729636
2019,7,6,oh,US,2033054,728029,892424,535131
2019,7,6,ok,US,813332,265934,342999,197774
2019,7,6,on,CA,154105,111134,154105,111134
2019,7,6,or,US,572340,199518,214368,133546
2019,7,6,pa,US,1925539,735367,825358,511001
2019,7,6,pe,CA,1138,851,1138,851
2019,7,6,pr,US,91693,50084,59842,41700
2019,7,6,qc,CA,64839,47174,64839,47174
2019,7,6,ri,US,164182,62950,65183,38995
2019,7,6,sc,US,1081834,349627,403290,232335
2019,7,6,sd,US,131592,46633,50978,30348
2019,7,6,sk,CA,8794,6842,8794,6842
2019,7,6,tn,US,1378961,451989,539483,316009
2019,7,6,tx,US,5838083,1748153,2233414,1286602
2019,7,6,ut,US,476820,151890,187537,106197
2019,7,6,va,US,1360720,467039,544707,323348
2019,7,6,vi,US,219,150,0,0
2019,7,6,vt,US,72522,32766,32275,21407
2019,7,6,wa,US,981244,336734,385024,239542
2019,7,6,wi,US,888980,329237,372493,230046
2019,7,6,wv,US,259418,106921,120655,75665
2019,7,6,wy,US,81016,32708,30753,19346
2019,7,6,yt,CA,247,186,247,186
2019,7,7,ALL,"",53629224,17921870,23946651,14045337
2019,7,7,ALL_CA,CA,350658,258533,350658,258533
2019,7,7,ALL_US,US,53278566,17663850,23595993,13786804
2019,7,7,ab,CA,41609,31954,41609,31954
2019,7,7,ak,US,79036,31170,32676,21120
2019,7,7,al,US,1095822,373532,515613,289262
2019,7,7,ar,US,576917,203248,285807,160808
2019,7,7,as,US,33,29,27,25
2019,7,7,az,US,934918,327135,406481,248580
2019,7,7,bc,CA,48726,37175,48726,37175
2019,7,7,ca,US,5671821,1802770,2215977,1340695
2019,7,7,co,US,877527,306702,354551,213618
2019,7,7,ct,US,465937,172447,215839,125672
2019,7,7,dc,US,94109,43499,0,0
2019,7,7,de,US,151520,60766,64543,39252
2019,7,7,fl,US,4116699,1333065,1651102,968413
2019,7,7,ga,US,2196951,704905,949449,535260
2019,7,7,gu,US,1320,760,826,612
2019,7,7,hi,US,273170,75216,78645,48626
2019,7,7,ia,US,536488,193272,271455,151197
2019,7,7,id,US,210106,83919,104604,62479
2019,7,7,il,US,2136467,738339,956962,552700
2019,7,7,in,US,1066257,382089,519600,295307
2019,7,7,ks,US,527245,191433,266611,152341
2019,7,7,ky,US,743241,270965,349991,201754
2019,7,7,la,US,877727,293390,402576,226279
2019,7,7,ma,US,846554,309092,368098,217715
2019,7,7,mb,CA,10659,7936,10659,7936
2019,7,7,md,US,910661,337495,402200,240747
2019,7,7,me,US,157016,60176,71615,42251
2019,7,7,mi,US,1483309,549321,737656,428868
2019,7,7,mn,US,777166,289454,374254,220995
2019,7,7,mo,US,1155851,399150,532860,301214
2019,7,7,mp,US,560,387,557,386
2019,7,7,ms,US,588213,204570,284942,158492
2019,7,7,mt,US,120482,49173,54335,34076
2019,7,7,nb,CA,5957,4362,5957,4362
2019,7,7,nc,US,1875650,667878,883293,510893
2019,7,7,nd,US,108736,45619,58414,35823
2019,7,7,ne,US,355651,130395,177884,102406
2019,7,7,nh,US,185013,70364,82940,48434
2019,7,7,nj,US,1525587,538631,682395,394723
2019,7,7,nl,CA,3468,2569,3468,2569
2019,7,7,nm,US,228158,91631,102277,63036
2019,7,7,ns,CA,7777,5682,7777,5682
2019,7,7,nt,CA,234,176,234,176
2019,7,7,nu,CA,105,73,105,73
2019,7,7,nv,US,645061,185807,194389,119000
2019,7,7,ny,US,2824783,1010183,1202034,721823
2019,7,7,oh,US,1888853,691752,931252,541390
2019,7,7,ok,US,775294,263190,370720,207973
2019,7,7,on,CA,156437,113138,156437,113138
2019,7,7,or,US,545792,199947,228778,141768
2019,7,7,pa,US,1775654,684490,841953,506703
2019,7,7,pe,CA,1112,825,1112,825
2019,7,7,pr,US,84505,49947,60130,42673
2019,7,7,qc,CA,65186,47405,65186,47405
2019,7,7,ri,US,145245,54736,61468,36078
2019,7,7,sc,US,986204,337918,433474,243468
2019,7,7,sd,US,127681,48227,60706,35227
2019,7,7,sk,CA,9141,7050,9141,7050
2019,7,7,tn,US,1285272,445013,581027,332349
2019,7,7,tx,US,5437298,1737509,2383995,1354942
2019,7,7,ut,US,398004,156301,200703,116190
2019,7,7,va,US,1262858,460107,580321,339921
2019,7,7,vi,US,135,108,0,0
2019,7,7,vt,US,58760,25512,29418,17971
2019,7,7,wa,US,927161,345704,409266,257187
2019,7,7,wi,US,842039,313431,412428,241592
2019,7,7,wv,US,238651,101480,123919,75941
2019,7,7,wy,US,77398,32540,32957,20549
2019,7,7,yt,CA,247,188,247,188
2019,7,8,ALL,"",59820715,18154895,24026699,13810060
2019,7,8,ALL_CA,CA,347768,256281,347768,256281
2019,7,8,ALL_US,US,59472947,17899170,23678931,13553779
2019,7,8,ab,CA,40357,31419,40357,31419
2019,7,8,ak,US,88350,30655,31077,20101
2019,7,8,al,US,1265920,368095,516233,283808
2019,7,8,ar,US,677542,203590,287629,157675
2019,7,8,as,US,28,27,24,23
2019,7,8,az,US,1046741,330694,403040,246261
2019,7,8,bc,CA,48062,37436,48062,37436
2019,7,8,ca,US,6142986,1818115,2197513,1334433
2019,7,8,co,US,950294,298218,347412,205618
2019,7,8,ct,US,523168,174119,222573,124807
2019,7,8,dc,US,126098,59943,0,0
2019,7,8,de,US,165596,58422,65276,38391
2019,7,8,fl,US,4563805,1349703,1692888,962446
2019,7,8,ga,US,2431560,707884,950536,526908
